No,time,src_ip,dst_ip,src_mac,dst_mac,protocol,src_port,dst_port,eth_type,flag,frame_len,Src_host_count,Src_ARP_count,Src_ICMP_count,Src_IGMP_count,Src_TCP_count,Src_UDP_count,diff_proto_rate,Diff_dest_port,TCP,UDP,ICMP,IGMP,ARP,label
1,"Jun 14, 2022 17:58:44.382751000 GMT Summer Time",10.0.0.3,10.0.0.2,06:a0:b1:a3:3c:2b,8e:81:b5:0d:68:3d,TCP,0,0,0x0800,0x0000,60,1,0,0,0,1,0,1,1,1,0,0,0,0,0
2,"Jun 14, 2022 17:58:44.382766000 GMT Summer Time",10.0.0.2,10.0.0.3,8e:81:b5:0d:68:3d,06:a0:b1:a3:3c:2b,TCP,0,0,0x0800,0x0014,54,1,0,0,0,1,0,1,1,1,0,0,0,0,0
3,"Jun 14, 2022 17:58:44.626252000 GMT Summer Time",10.0.0.3,10.0.0.2,06:a0:b1:a3:3c:2b,8e:81:b5:0d:68:3d,TCP,0,0,0x0800,0x0000,60,2,0,0,0,2,0,1,1,1,0,0,0,0,0
4,"Jun 14, 2022 17:58:44.626264000 GMT Summer Time",10.0.0.2,10.0.0.3,8e:81:b5:0d:68:3d,06:a0:b1:a3:3c:2b,TCP,0,0,0x0800,0x0014,54,2,0,0,0,2,0,1,1,1,0,0,0,0,0
5,"Jun 14, 2022 17:58:44.876066000 GMT Summer Time",10.0.0.3,10.0.0.2,06:a0:b1:a3:3c:2b,8e:81:b5:0d:68:3d,TCP,0,0,0x0800,0x0000,60,3,0,0,0,3,0,1,1,1,0,0,0,0,0
6,"Jun 14, 2022 17:58:44.876082000 GMT Summer Time",10.0.0.2,10.0.0.3,8e:81:b5:0d:68:3d,06:a0:b1:a3:3c:2b,TCP,0,0,0x0800,0x0014,54,3,0,0,0,3,0,1,1,1,0,0,0,0,0
7,"Jun 14, 2022 17:58:45.125912000 GMT Summer Time",10.0.0.3,10.0.0.2,06:a0:b1:a3:3c:2b,8e:81:b5:0d:68:3d,TCP,0,0,0x0800,0x0000,60,4,0,0,0,4,0,1,1,1,0,0,0,0,0
8,"Jun 14, 2022 17:58:45.125926000 GMT Summer Time",10.0.0.2,10.0.0.3,8e:81:b5:0d:68:3d,06:a0:b1:a3:3c:2b,TCP,0,0,0x0800,0x0014,54,4,0,0,0,4,0,1,1,1,0,0,0,0,0
9,"Jun 14, 2022 17:58:45.375912000 GMT Summer Time",10.0.0.3,10.0.0.2,06:a0:b1:a3:3c:2b,8e:81:b5:0d:68:3d,TCP,0,0,0x0800,0x0000,60,5,0,0,0,5,0,1,1,1,0,0,0,0,0
10,"Jun 14, 2022 17:58:45.375927000 GMT Summer Time",10.0.0.2,10.0.0.3,8e:81:b5:0d:68:3d,06:a0:b1:a3:3c:2b,TCP,0,0,0x0800,0x0014,54,5,0,0,0,5,0,1,1,1,0,0,0,0,0
